"Relative Time (Process)","slope: 2 - _step","slope: 2 - _step__MIN","slope: 2 - _step__MAX","slope: 2 - test/returns_stat/mean","slope: 2 - test/returns_stat/mean__MIN","slope: 2 - test/returns_stat/mean__MAX","slope: 50 - _step","slope: 50 - _step__MIN","slope: 50 - _step__MAX","slope: 50 - test/returns_stat/mean","slope: 50 - test/returns_stat/mean__MIN","slope: 50 - test/returns_stat/mean__MAX","slope: 1 - _step","slope: 1 - _step__MIN","slope: 1 - _step__MAX","slope: 1 - test/returns_stat/mean","slope: 1 - test/returns_stat/mean__MIN","slope: 1 - test/returns_stat/mean__MAX","slope: 100 - _step","slope: 100 - _step__MIN","slope: 100 - _step__MAX","slope: 100 - test/returns_stat/mean","slope: 100 - test/returns_stat/mean__MIN","slope: 100 - test/returns_stat/mean__MAX","slope: 10 - _step","slope: 10 - _step__MIN","slope: 10 - _step__MAX","slope: 10 - test/returns_stat/mean","slope: 10 - test/returns_stat/mean__MIN","slope: 10 - test/returns_stat/mean__MAX"
"331.385472","83478","83478","83478","27.986399","27.986399","27.986399","","","","","","","","","","","","","","","","","","","","","","","",""
"331.615008","83891","83891","83891","35.411877","35.411877","35.411877","","","","","","","","","","","","","","","","","","","","","","","",""
"340.98276","84332","84332","84332","34.44827","34.44827","34.44827","","","","","","","","","","","","","","","","","","","","","","","",""
"341.545315","1117","1117","1117","38.061737","38.061737","38.061737","","","","","","","","","","","","","","","","","","","","","","","",""
"342.294641","83181","83181","83181","32.53048","32.53048","32.53048","","","","","","","","","","","","","","","","","","","","","","","",""
"345.931058","83705","83705","83705","37.371864","37.371864","37.371864","","","","","","","","","","","","","","","","","","","","","","","",""
"346.185493","1117","1117","1117","37.36646","37.36646","37.36646","","","","","","","","","","","","","","","","","","","","","","","",""
"346.387074","84185","84185","84185","31.764673","31.764673","31.764673","","","","","","","","","","","","","","","","","","","","","","","",""
"347.301649","83951","83951","83951","28.202898","28.202898","28.202898","","","","","","","","","","","","","","","","","","","","","","","",""
"351.998998","84138","84138","84138","31.838211","31.838211","31.838211","","","","","","","","","","","","","","","","","","","","","","","",""
"356.310451","83791","83791","83791","30.33124","30.33124","30.33124","","","","","","","","","","","","","","","","","","","","","","","",""
"364.7390441894531","22","22","22","17.438282012939453","17.438282012939453","17.438282012939453","","","","","","","","","","","","","","","","","","","","","","","",""
"366.329084","84199","84199","84199","32.700436","32.700436","32.700436","","","","","","","","","","","","","","","","","","","","","","","",""
"371.596153","83536","83536","83536","34.389343","34.389343","34.389343","","","","","","","","","","","","","","","","","","","","","","","",""
"373.37796092033386","33","33","33","36.66575241088867","36.66575241088867","36.66575241088867","","","","","","","","","","","","","","","","","","","","","","","",""
"373.66475319862366","","","","","","","","","","","","","33","33","33","37.45966339111328","37.45966339111328","37.45966339111328","","","","","","","","","","","",""
"385.89079","1406","1406","1406","34.77686","34.77686","34.77686","","","","","","","","","","","","","","","","","","","","","","","",""
"387.009605","1406","1406","1406","29.99272","29.99272","29.99272","","","","","","","","","","","","","","","","","","","","","","","",""
"387.418275","1377","1377","1377","32.690487","32.690487","32.690487","","","","","","","","","","","","","","","","","","","","","","","",""
"391.074621","1406","1406","1406","24.82205","24.82205","24.82205","","","","","","","","","","","","","","","","","","","","","","","",""
"394.1722128391266","","","","","","","","","","","","","33","33","33","32.27656173706055","32.27656173706055","32.27656173706055","","","","","","","","","","","",""
"394.7172951698303","33","33","33","33.06048583984375","33.06048583984375","33.06048583984375","","","","","","","","","","","","","","","","","","","","","","","",""
"395.95614","1406","1406","1406","37.0129","37.0129","37.0129","","","","","","","","","","","","","","","","","","","","","","","",""
"396.3758418560028","","","","","","","","","","","","","34","34","34","34.741817474365234","34.741817474365234","34.741817474365234","","","","","","","","","","","",""
"397.5437309741974","34","34","34","32.908164978027344","32.908164978027344","32.908164978027344","","","","","","","","","","","","","","","","","","","","","","","",""
"403.448783159256","","","","","","","","","","","","","","","","","","","33","33","33","39.21677017211914","39.21677017211914","39.21677017211914","","","","","",""
"404.80489110946655","","","","","","","34","34","34","33.43706512451172","33.43706512451172","33.43706512451172","","","","","","","","","","","","","","","","","",""
"407.3162651062012","34","34","34","33.68125915527344","33.68125915527344","33.68125915527344","","","","","","","","","","","","","","","","","","","","","","","",""
"408.2363750934601","","","","","","","","","","","","","","","","","","","32","32","32","31.516130447387695","31.516130447387695","31.516130447387695","","","","","",""
"411.066954","104682","104682","104682","34.32847","34.32847","34.32847","","","","","","","","","","","","","","","","","","","","","","","",""
"412.2162790298462","","","","","","","33","33","33","43.994781494140625","43.994781494140625","43.994781494140625","","","","","","","","","","","","","","","","","",""
"416.412627","104222","104222","104222","35.57983","35.57983","35.57983","","","","","","","","","","","","","","","","","","","","","","","",""
"420.28783798217773","63186","63186","63186","39.58638381958008","39.58638381958008","39.58638381958008","","","","","","","","","","","","","","","","","","","","","","","",""
"421.921335","104493","104493","104493","36.77601","36.77601","36.77601","","","","","","","","","","","","","","","","","","","","","","","",""
"424.67093205451965","","","","","","","","","","","","","","","","","","","","","","","","","33","33","33","45.982112884521484","45.982112884521484","45.982112884521484"
"426.013404","104436","104436","104436","38.634224","38.634224","38.634224","","","","","","","","","","","","","","","","","","","","","","","",""
"431.567868","104311","104311","104311","36.506325","36.506325","36.506325","","","","","","","","","","","","","","","","","","","","","","","",""
"431.600974","1406","1406","1406","32.47898","32.47898","32.47898","","","","","","","","","","","","","","","","","","","","","","","",""
"432.325013","104083","104083","104083","32.147594","32.147594","32.147594","","","","","","","","","","","","","","","","","","","","","","","",""
"432.458694","104055","104055","104055","33.493614","33.493614","33.493614","","","","","","","","","","","","","","","","","","","","","","","",""
"433.0472369194031","","","","","","","34","34","34","31.487110137939453","31.487110137939453","31.487110137939453","","","","","","","","","","","","","","","","","",""
"435.970316","104565","104565","104565","32.68236","32.68236","32.68236","","","","","","","","","","","","","","","","","","","","","","","",""
"436.233536","1406","1406","1406","37.074993","37.074993","37.074993","","","","","","","","","","","","","","","","","","","","","","","",""
"442.027796","104457","104457","104457","41.65931","41.65931","41.65931","","","","","","","","","","","","","","","","","","","","","","","",""
"456.355617","104836","104836","104836","34.811047","34.811047","34.811047","","","","","","","","","","","","","","","","","","","","","","","",""
"456.363851","105024","105024","105024","33.179157","33.179157","33.179157","","","","","","","","","","","","","","","","","","","","","","","",""
"465.93718","1695","1695","1695","34.37983","34.37983","34.37983","","","","","","","","","","","","","","","","","","","","","","","",""
"467.059603","1695","1695","1695","32.4978","32.4978","32.4978","","","","","","","","","","","","","","","","","","","","","","","",""
"467.472639","1666","1666","1666","33.422333","33.422333","33.422333","","","","","","","","","","","","","","","","","","","","","","","",""
"471.121162","1666","1666","1666","39.121834","39.121834","39.121834","","","","","","","","","","","","","","","","","","","","","","","",""
"471.625651","104833","104833","104833","33.1167","33.1167","33.1167","","","","","","","","","","","","","","","","","","","","","","","",""
"476.004793","1666","1666","1666","45.674057","45.674057","45.674057","","","","","","","","","","","","","","","","","","","","","","","",""
"500.1365728378296","44","44","44","35.35902404785156","35.35902404785156","35.35902404785156","","","","","","","","","","","","","","","","","","","","","","","",""
"501.10774","125228","125228","125228","45.24011","45.24011","45.24011","","","","","","","","","","","","","","","","","","","","","","","",""
"501.435779","125038","125038","125038","40.542744","40.542744","40.542744","","","","","","","","","","","","","","","","","","","","","","","",""
"501.81767225265503","","","","","","","","","","","","","43","43","43","39.953224182128906","39.953224182128906","39.953224182128906","","","","","","","","","","","",""
