Relative Time (Process),Schedule : adaptive - _step,Schedule : adaptive - _step__MIN,Schedule : adaptive - _step__MAX,Schedule : adaptive - test reward ,Schedule : adaptive - test reward __MIN,Schedule : adaptive - test reward __MAX,Schedule : fixed - _step,Schedule : fixed - _step__MIN,Schedule : fixed - _step__MAX,Schedule : fixed - test reward ,Schedule : fixed - test reward __MIN,Schedule : fixed - test reward __MAX,Schedule : interval - _step,Schedule : interval - _step__MIN,Schedule : interval - _step__MAX,Schedule : interval - test reward ,Schedule : interval - test reward __MIN,Schedule : interval - test reward __MAX,epoch
312.369848,69851.33333333333,69851.33333333333,69851.33333333333,38.10429844604492,38.10429844604492,38.10429844604492,1117.0,1117.0,1117.0,34.368687,34.368687,34.368687,76610.66666666667,76610.66666666667,76610.66666666667,30.027028666666666,30.027028666666666,30.027028666666666,12.611275964391691
315.912094,76637.66666666666,76637.66666666666,76637.66666666666,36.541169223022465,36.541169223022465,36.541169223022465,1117.0,1117.0,1117.0,41.875957,41.875957,41.875957,78899.77777777778,78899.77777777778,78899.77777777778,29.346818777777777,29.346818777777777,29.346818777777777,12.759643916913946
321.014148,83424.0,83424.0,83424.0,34.97804,34.97804,34.97804,1117.0,1117.0,1117.0,41.113113,41.113113,41.113113,81188.88888888889,81188.88888888889,81188.88888888889,28.666608888888888,28.666608888888888,28.666608888888888,12.908011869436201
331.385472,83470.83333333333,83470.83333333333,83470.83333333333,35.37701066666666,35.37701066666666,35.37701066666666,1117.0,1117.0,1117.0,40.350269,40.350269,40.350269,83478.0,83478.0,83478.0,27.986399,27.986399,27.986399,13.056379821958457
331.615008,83517.66666666667,83517.66666666667,83517.66666666667,35.775981333333334,35.775981333333334,35.775981333333334,1117.0,1117.0,1117.0,39.587425,39.587425,39.587425,83891.0,83891.0,83891.0,35.411877,35.411877,35.411877,13.204747774480712
340.98276,83564.5,83564.5,83564.5,36.174952000000005,36.174952000000005,36.174952000000005,1117.0,1117.0,1117.0,38.824581,38.824581,38.824581,84332.0,84332.0,84332.0,34.44827,34.44827,34.44827,13.353115727002967
341.545315,83611.33333333333,83611.33333333333,83611.33333333333,36.57392266666667,36.57392266666667,36.57392266666667,1117.0,1117.0,1117.0,38.061737,38.061737,38.061737,83756.5,83756.5,83756.5,33.489374999999995,33.489374999999995,33.489374999999995,13.501483679525222
342.294641,83658.16666666667,83658.16666666667,83658.16666666667,36.97289333333333,36.97289333333333,36.97289333333333,1117.0,1117.0,1117.0,37.829978,37.829978,37.829978,83181.0,83181.0,83181.0,32.53048,32.53048,32.53048,13.649851632047477
345.931058,83705.0,83705.0,83705.0,37.371864,37.371864,37.371864,1117.0,1117.0,1117.0,37.598219,37.598219,37.598219,83373.5,83373.5,83373.5,31.4485845,31.4485845,31.4485845,13.798219584569733
346.185493,83945.0,83945.0,83945.0,34.5682685,34.5682685,34.5682685,1117.0,1117.0,1117.0,37.36646,37.36646,37.36646,83566.0,83566.0,83566.0,30.366689,30.366689,30.366689,13.946587537091988
346.387074,84185.0,84185.0,84185.0,31.764673,31.764673,31.764673,1158.2857142857142,1158.2857142857142,1158.2857142857142,36.99651714285714,36.99651714285714,36.99651714285714,83758.5,83758.5,83758.5,29.2847935,29.2847935,29.2847935,14.094955489614243
347.301649,84161.5,84161.5,84161.5,31.801442,31.801442,31.801442,1199.5714285714287,1199.5714285714287,1199.5714285714287,36.626574285714284,36.626574285714284,36.626574285714284,83951.0,83951.0,83951.0,28.202898,28.202898,28.202898,14.243323442136496
